Shape_Length,Shape_Area,OBJECTID_1,OBJECTID,Name,Category,CenterX,CenterY,Shape_Leng,DOWNLOAD
4866063.40598081,1475878304594.16,1,1,eud_cp-dems_2500015000-aa,1,2500000,1500000,0,http://land.copernicus.eu/pan-european/satellite-derived-products/eu-dem/eu-dem-v1-0-and-derived-products/eu-dem-v1.0?fieldsetlegend-download=True-selected-@eu-dem-2500015000
5493483.98070715,1879871333235.62,2,2,eud_cp-dems_2500025000-aa,1,2500000,2500000,0,http://land.copernicus.eu/pan-european/satellite-derived-products/eu-dem/eu-dem-v1-0-and-derived-products/eu-dem-v1.0?fieldsetlegend-download=True-selected-@eu-dem-2500025000
6448200.43981327,2585175663020.51,3,3,eud_cp-dems_2500035000-aa,1,2500000,3500000,0,http://land.copernicus.eu/pan-european/satellite-derived-products/eu-dem/eu-dem-v1-0-and-derived-products/eu-dem-v1.0?fieldsetlegend-download=True-selected-@eu-dem-2500035000
7939193.11081118,3903891835342.28,4,4,eud_cp-dems_2500045000-aa,1,2500000,4500000,0,http://land.copernicus.eu/pan-european/satellite-derived-products/eu-dem/eu-dem-v1-0-and-derived-products/eu-dem-v1.0?fieldsetlegend-download=True-selected-@eu-dem-2500045000
10312167.0072,6534749174894.15,5,5,eud_cp-dems_2500055000-aa,1,2500000,5500000,0,http://land.copernicus.eu/pan-european/satellite-derived-products/eu-dem/eu-dem-v1-0-and-derived-products/eu-dem-v1.0?fieldsetlegend-download=True-selected-@eu-dem-2500055000
4967555.74523181,1538961522017.83,6,6,eud_cp-dems_3500015000-aa,1,3500000,1500000,0,http://land.copernicus.eu/pan-european/satellite-derived-products/eu-dem/eu-dem-v1-0-and-derived-products/eu-dem-v1.0?fieldsetlegend-download=True-selected-@eu-dem-3500015000
5681722.71266844,2010887426437.75,7,7,eud_cp-dems_3500025000-aa,1,3500000,2500000,0,http://land.copernicus.eu/pan-european/satellite-derived-products/eu-dem/eu-dem-v1-0-and-derived-products/eu-dem-v1.0?fieldsetlegend-download=True-selected-@eu-dem-3500025000
6821730.78080282,2891577125726.15,8,8,eud_cp-dems_3500035000-aa,1,3500000,3500000,0,http://land.copernicus.eu/pan-european/satellite-derived-products/eu-dem/eu-dem-v1-0-and-derived-products/eu-dem-v1.0?fieldsetlegend-download=True-selected-@eu-dem-3500035000
8786917.49150092,4771885658220.1,9,9,eud_cp-dems_3500045000-aa,1,3500000,4500000,0,http://land.copernicus.eu/pan-european/satellite-derived-products/eu-dem/eu-dem-v1-0-and-derived-products/eu-dem-v1.0?fieldsetlegend-download=True-selected-@eu-dem-3500045000
12710452.1996195,9839124332156.85,10,10,eud_cp-dems_3500055000-aa,1,3500000,5500000,0,http://land.copernicus.eu/pan-european/satellite-derived-products/eu-dem/eu-dem-v1-0-and-derived-products/eu-dem-v1.0?fieldsetlegend-download=True-selected-@eu-dem-3500055000
4993972.87795829,1555558069145.4,11,11,eud_cp-dems_4500015000-aa,1,4500000,1500000,0,http://land.copernicus.eu/pan-european/satellite-derived-products/eu-dem/eu-dem-v1-0-and-derived-products/eu-dem-v1.0?fieldsetlegend-download=True-selected-@eu-dem-4500015000
5731669.68904986,2046353114155.85,12,12,eud_cp-dems_4500025000-aa,1,4500000,2500000,0,http://land.copernicus.eu/pan-european/satellite-derived-products/eu-dem/eu-dem-v1-0-and-derived-products/eu-dem-v1.0?fieldsetlegend-download=True-selected-@eu-dem-4500025000
6924937.56135742,2979167830999.19,13,13,eud_cp-dems_4500035000-aa,1,4500000,3500000,0,http://land.copernicus.eu/pan-european/satellite-derived-products/eu-dem/eu-dem-v1-0-and-derived-products/eu-dem-v1.0?fieldsetlegend-download=True-selected-@eu-dem-4500035000
9042165.23220901,5049432448445.31,14,14,eud_cp-dems_4500045000-aa,1,4500000,4500000,0,http://land.copernicus.eu/pan-european/satellite-derived-products/eu-dem/eu-dem-v1-0-and-derived-products/eu-dem-v1.0?fieldsetlegend-download=True-selected-@eu-dem-4500045000
13597378.6012911,11211329387442,15,15,eud_cp-dems_4500055000-aa,1,4500000,5500000,0,http://land.copernicus.eu/pan-european/satellite-derived-products/eu-dem/eu-dem-v1-0-and-derived-products/eu-dem-v1.0?fieldsetlegend-download=True-selected-@eu-dem-4500055000
4938929.8952998,1521061070809.23,16,16,eud_cp-dems_5500015000-aa,1,5500000,1500000,0,http://land.copernicus.eu/pan-european/satellite-derived-products/eu-dem/eu-dem-v1-0-and-derived-products/eu-dem-v1.0?fieldsetlegend-download=True-selected-@eu-dem-5500015000
5628055.48586084,1973109928592.9,17,17,eud_cp-dems_5500025000-aa,1,5500000,2500000,0,http://land.copernicus.eu/pan-european/satellite-derived-products/eu-dem/eu-dem-v1-0-and-derived-products/eu-dem-v1.0?fieldsetlegend-download=True-selected-@eu-dem-5500025000
6712816.45149767,2800521198491.17,18,18,eud_cp-dems_5500035000-aa,1,5500000,3500000,0,http://land.copernicus.eu/pan-european/satellite-derived-products/eu-dem/eu-dem-v1-0-and-derived-products/eu-dem-v1.0?fieldsetlegend-download=True-selected-@eu-dem-5500035000
8527994.96717856,4497971455180.62,19,19,eud_cp-dems_5500045000-aa,1,5500000,4500000,0,http://land.copernicus.eu/pan-european/satellite-derived-products/eu-dem/eu-dem-v1-0-and-derived-products/eu-dem-v1.0?fieldsetlegend-download=True-selected-@eu-dem-5500045000
11895469.7220981,8647612529603.79,20,20,eud_cp-dems_5500055000-aa,1,5500000,5500000,0,http://land.copernicus.eu/pan-european/satellite-derived-products/eu-dem/eu-dem-v1-0-and-derived-products/eu-dem-v1.0?fieldsetlegend-download=True-selected-@eu-dem-5500055000
4815536.82824716,1444858111594.27,21,21,eud_cp-dems_6500015000-aa,1,6500000,1500000,0,http://land.copernicus.eu/pan-european/satellite-derived-products/eu-dem/eu-dem-v1-0-and-derived-products/eu-dem-v1.0?fieldsetlegend-download=True-selected-@eu-dem-6500015000
5401783.87967951,1817541445626.32,22,22,eud_cp-dems_6500025000-aa,1,6500000,2500000,0,http://land.copernicus.eu/pan-european/satellite-derived-products/eu-dem/eu-dem-v1-0-and-derived-products/eu-dem-v1.0?fieldsetlegend-download=True-selected-@eu-dem-6500025000
5110435.75308722,1625792643770.48,23,26,eud_cp-dems_7500025000-aa,1,7500000,2500000,0,http://land.copernicus.eu/pan-european/satellite-derived-products/eu-dem/eu-dem-v1-0-and-derived-products/eu-dem-v1.0?fieldsetlegend-download=True-selected-@eu-dem-7500025000
